fecha,moneda,valor
2025-08-07,COP,4725.236875
2025-08-06,USD,1.166262
2025-08-06,COP,4717.903475
2025-08-05,USD,1.157863
2025-08-05,COP,4735.949009
2025-08-04,COP,4747.708235
2025-08-04,USD,1.158359
2025-08-03,COP,4778.322593
2025-08-03,USD,1.158614
2025-08-02,USD,1.159353
2025-08-02,COP,4780.4474
2025-08-01,USD,1.159353
2025-08-01,COP,4782.317548
2025-07-31,COP,4782.571319
2025-07-31,USD,1.142322
2025-07-30,COP,4786.913584
2025-07-30,USD,1.142871
2025-07-29,USD,1.155028
2025-07-29,COP,4777.775226
2025-07-28,COP,4841.817707
2025-07-28,USD,1.159622
2025-07-27,COP,4779.436055
2025-07-27,USD,1.17562
2025-07-26,COP,4775.561579
2025-07-26,USD,1.174668
2025-07-25,USD,1.174668
2025-07-25,COP,4825.831318
2025-07-24,COP,4788.939596
2025-07-24,USD,1.175558
2025-07-23,COP,4754.280042
2025-07-23,USD,1.17737
2025-07-22,COP,4780.673116
2025-07-22,USD,1.173874
2025-07-21,USD,1.169427
2025-07-21,COP,4719.034991
2025-07-20,COP,4677.391488
2025-07-20,USD,1.163021
2025-07-19,COP,4674.330945
2025-07-19,USD,1.162261
2025-07-18,USD,1.162261
2025-07-18,COP,4657.181754
2025-07-17,COP,4671.767939
2025-07-17,USD,1.161507
2025-07-16,USD,1.163536
2025-07-16,COP,4671.164862
2025-07-15,USD,1.160699
2025-07-15,COP,4684.000428
2025-07-14,USD,1.166592
2025-07-14,COP,4678.615769
2025-07-13,COP,4688.297987
2025-07-13,USD,1.168155
2025-07-12,USD,1.169038
2025-07-12,COP,4691.84559
2025-07-11,COP,4674.983423
2025-07-11,USD,1.169038
2025-07-10,USD,1.170134
2025-07-10,COP,4698.908255
2025-07-09,USD,1.173076
2025-07-09,COP,4719.577917
2025-07-08,USD,1.172402
2025-07-08,COP,4750.13996
2025-07-07,USD,1.173599
2025-07-07,COP,4732.066693
2025-07-06,COP,4714.033749
2025-07-06,USD,1.178023
2025-07-05,USD,1.177925
2025-07-05,COP,4689.39895
2025-07-04,USD,1.177925
2025-07-04,COP,4712.218658
2025-07-03,USD,1.177094
2025-07-03,COP,4696.603416
2025-07-02,USD,1.179983
2025-07-02,COP,4709.015952
2025-07-01,COP,4757.553786
2025-07-01,USD,1.180526
2025-06-30,USD,1.178661
2025-06-30,COP,4820.135877
2025-06-29,USD,1.172691
2025-06-29,COP,4734.374495
2025-06-28,USD,1.171915
2025-06-28,COP,4731.24812
2025-06-27,USD,1.171915
2025-06-27,COP,4791.082086
2025-06-26,USD,1.169146
2025-06-26,COP,4722.181627
2025-06-25,USD,1.168347
2025-06-25,COP,4741.081606
2025-06-24,USD,1.161164
2025-06-24,COP,4735.573992
2025-06-23,COP,4736.831439
2025-06-23,USD,1.159851
2025-06-22,COP,4695.125668
2025-06-22,USD,1.150014
2025-06-21,COP,4705.142985
2025-06-21,USD,1.152467
2025-06-20,USD,1.152467
2025-06-20,COP,4701.775625
2025-06-19,USD,1.151143
2025-06-19,COP,4700.117869
2025-06-18,USD,1.147664
2025-06-18,COP,4671.245847
2025-06-17,USD,1.148211
2025-06-17,COP,4709.962958
2025-06-16,USD,1.155068
2025-06-16,COP,4736.35552
2025-06-15,USD,1.155537
2025-06-15,COP,4778.745066
2025-06-14,USD,1.15553
2025-06-14,COP,4778.715365
2025-06-13,USD,1.15553
2025-06-13,COP,4764.248271
2025-06-12,COP,4822.004223
2025-06-12,USD,1.159972
2025-06-11,USD,1.150874
2025-06-11,COP,4808.926177
