fecha,real_COP,pred_COP
2025-10-06,4524.345562,4537.435
2025-10-07,4517.617719,4537.415
2025-10-08,4523.444507,4537.3867
2025-10-09,4498.815086,4537.332
2025-10-10,4556.443948,4537.263
2025-10-11,4495.137876,4537.1694
2025-10-12,4494.592375,4537.0537
2025-10-13,4542.950882,4536.9263
2025-10-14,4554.023292,4536.7866
2025-10-15,4532.001611,4536.6416
2025-10-16,4518.864051,4536.494
2025-10-17,4465.825185,4536.349
2025-10-18,4497.072364,4536.235
2025-10-19,4495.786922,4536.146
2025-10-20,4521.955408,4536.079
2025-10-21,4505.144122,4536.0225
2025-10-22,4540.147533,4535.9683
2025-10-23,4507.940402,4535.902
2025-10-24,4495.095405,4535.8325
2025-10-25,4495.095405,4535.7744
2025-10-26,4514.209973,4535.7285
2025-10-27,4480.097865,4535.678
2025-10-28,4533.05337,4535.6343
2025-10-29,4498.678271,4535.5986
2025-10-30,4466.892244,4535.564
2025-10-31,4478.647054,4535.525
2025-11-01,4467.910482,4535.482
2025-11-02,4439.608485,4535.437
2025-11-03,4442.434959,4535.381
2025-11-04,4442.189877,4535.311
