fecha,real_COP,pred_COP
2025-11-24,4369.302616,4420.0820774815875
2025-11-25,4399.862743,4421.441817451528
2025-11-26,4334.847671,4422.891591334609
2025-11-27,4344.723142,4424.395236406768
2025-11-28,4330.876577,4425.782985085997
2025-11-29,4330.876577,4426.729231983519
2025-11-30,4332.95805,4427.260751105166
2025-12-01,4366.583084,4427.5325515976665
2025-12-02,4439.378547,4427.721950135978
2025-12-03,4398.127607,4427.918790041432
2025-12-04,4420.630439,4428.512425519535
2025-12-05,4463.819362,4428.917623704972
2025-12-06,4424.302993,4429.199003507514
2025-12-07,4421.443315,4429.214317145018
2025-12-08,4472.841978,4428.883516057804
2025-12-09,4486.274463,4428.5445775290145
2025-12-10,4495.123763,4428.0159587175
2025-12-11,4464.69478,4427.645613973267
2025-12-12,4467.326371,4427.532949354485
2025-12-13,4466.125466,4427.27997601805
2025-12-14,4463.211123,4426.590945196358
2025-12-15,4489.94458,4425.537685141514
2025-12-16,4512.801763,4424.3649820287765
2025-12-17,4538.781864,4423.065237045596
2025-12-18,4530.271497,4422.007709391556
2025-12-19,4460.039473,4421.673767682796
2025-12-20,4521.190411,4421.172312347332
2025-12-21,4519.174326,4421.300887238846
2025-12-22,4474.307463,4421.444792341065
2025-12-23,4430.201631,4421.518095608037
2025-12-24,4408.204215,4421.132271494291
2025-12-25,4411.750788,4420.533539756952
2025-12-26,4352.975558,4419.704109065004
2025-12-27,4352.975558,4418.397842527323
2025-12-28,4351.997363,4417.184402487112
2025-12-29,4392.429089,4417.770911488888
2025-12-30,4395.902713,4419.429333682965
2025-12-31,4423.174217,4421.069235325192
2026-01-01,4423.174552,4423.01618865794
