fecha,real_COP,pred_COP
2025-10-31,4478.647054,4365.944465914969
2025-11-01,4467.910482,4365.893362450419
2025-11-02,4439.608485,4365.82164192412
2025-11-03,4442.434959,4365.654120010815
2025-11-04,4442.189877,4365.396042128545
2025-11-05,4408.280819,4365.06306995203
2025-11-06,4369.847532,4364.744831350993
2025-11-07,4373.226322,4364.4477815871305
2025-11-08,4373.226322,4364.090513098298
2025-11-09,4363.406158,4363.341951339468
2025-11-10,4338.408005,4362.486509008923
2025-11-11,4355.040443,4361.537295508465
2025-11-12,4296.697507,4360.540798666231
2025-11-13,4359.801546,4359.429706427328
2025-11-14,4368.639234,4358.567228773059
2025-11-15,4353.546007,4357.70020177518
2025-11-16,4348.844308,4356.823288863047
2025-11-17,4353.608323,4356.416648809144
2025-11-18,4309.743125,4356.119416740074
2025-11-19,4285.713369,4355.8482211694
2025-11-20,4341.364195,4355.569658810988
2025-11-21,4322.975892,4355.62732526304
2025-11-22,4329.249669,4355.744406639825
2025-11-23,4327.896966,4355.848022290991
2025-11-24,4369.302616,4355.894990741951
2025-11-25,4399.862743,4355.956991086003
2025-11-26,4334.847671,4356.0046804711965
2025-11-27,4344.723142,4355.981378550924
2025-11-28,4330.876577,4355.880779222298
2025-11-29,4330.876577,4355.727443968845
2025-11-30,4332.95805,4355.550276452696
2025-12-01,4366.583084,4355.373034357144
